"Domaine","Permission","Action","Portée","Inclut aussi","organization.owner","organization.admin","organization.user","workspace.admin","workspace.member","workspace.viewer","workspace.knowledge_editor","workspace.agent_user","Références du code"
"Modèles, outils et connaissances","providers.test","Tester la connexion à un fournisseur.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/providers/[providerId]/test/route.ts](../src/app/api/workspace/providers/[providerId]/test/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","models.create","Ajouter un modèle.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/providers/[providerId]/models/route.ts](../src/app/api/workspace/providers/[providerId]/models/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","models.update","Modifier la configuration d’un modèle.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/providers/[providerId]/models/[modelDbId]/route.ts](../src/app/api/workspace/providers/[providerId]/models/[modelDbId]/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","models.delete","Supprimer un modèle.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/providers/[providerId]/models/[modelDbId]/route.ts](../src/app/api/workspace/providers/[providerId]/models/[modelDbId]/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","models.sync","Découvrir les modèles d’un fournisseur.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/providers/[providerId]/models/refresh/route.ts](../src/app/api/workspace/providers/[providerId]/models/refresh/route.ts)<br>[src/app/api/workspace/providers/[providerId]/models/route.ts](../src/app/api/workspace/providers/[providerId]/models/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","tools.manage","Toutes les actions d’outil enregistrées dans le catalogue.","Organisation → projet → ressource du domaine","tools.view, tools.configure, tools.executeRestricted","Oui","Oui","—","Oui","—","—","—","—","[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","providers.viewMetadata","Voir les fournisseurs configurés sans leurs secrets.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","Oui","—","—","[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/app/api/workspace/providers/[providerId]/route.ts](../src/app/api/workspace/providers/[providerId]/route.ts)<br>[src/app/api/workspace/providers/route.ts](../src/app/api/workspace/providers/route.ts)<br>[src/app/api/workspace/rag-models/route.ts](../src/app/api/workspace/rag-models/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/marketplace/install-agent-model.ts](../src/modules/marketplace/install-agent-model.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","providers.manage","Créer, tester, modifier et supprimer les fournisseurs.","Organisation → projet → ressource du domaine","providers.create, providers.update, providers.delete, providers.test, providers.viewMetadata","Oui","Oui","—","Oui","—","—","—","—","[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","models.view","Voir les modèles disponibles dans le projet.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","Oui","—","—","[src/app/api/anthropic/v1/models/[...model]/route.ts](../src/app/api/anthropic/v1/models/[...model]/route.ts)<br>[src/app/api/anthropic/v1/models/route.ts](../src/app/api/anthropic/v1/models/route.ts)<br>[src/app/api/v1/models/[...model]/route.ts](../src/app/api/v1/models/[...model]/route.ts)<br>[src/app/api/v1/models/route.ts](../src/app/api/v1/models/route.ts)<br>[src/app/api/workspace/providers/[providerId]/models/route.ts](../src/app/api/workspace/providers/[providerId]/models/route.ts)<br>[src/app/api/workspace/providers/route.ts](../src/app/api/workspace/providers/route.ts)<br>[src/modules/anthropic-proxy/auth.ts](../src/modules/anthropic-proxy/auth.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/openai-proxy/auth.ts](../src/modules/openai-proxy/auth.ts)<br>[src/modules/openapi/openapi.open-api-object.ts](../src/modules/openapi/openapi.open-api-object.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","models.invoke","Invoquer les modèles configurés.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/anthropic/v1/messages/route.ts](../src/app/api/anthropic/v1/messages/route.ts)<br>[src/app/api/v1/chat/completions/route.ts](../src/app/api/v1/chat/completions/route.ts)<br>[src/app/api/v1/responses/route.ts](../src/app/api/v1/responses/route.ts)<br>[src/modules/anthropic-proxy/auth.ts](../src/modules/anthropic-proxy/auth.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/marketplace/install-agent-model.ts](../src/modules/marketplace/install-agent-model.ts)<br>[src/modules/openai-proxy/auth.ts](../src/modules/openai-proxy/auth.ts)<br>[src/modules/openapi/openapi.open-api-object.ts](../src/modules/openapi/openapi.open-api-object.ts)<br>[src/modules/provider/image-generation.ts](../src/modules/provider/image-generation.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","models.manage","Synchroniser et configurer les modèles disponibles.","Organisation → projet → ressource du domaine","models.create, models.update, models.delete, models.sync, models.view, models.invoke","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/agents/route.get.ts](../src/app/api/workspace/agents/route.get.ts)<br>[src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/route.ts](../src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/route.ts)<br>[src/app/api/workspace/knowledge-bases/route.ts](../src/app/api/workspace/knowledge-bases/route.ts)<br>[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","tools.view","Voir les outils et intégrations.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","Oui","—","—","[src/app/api/workspace/custom-tools/route.ts](../src/app/api/workspace/custom-tools/route.ts)<br>[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/app/api/workspace/tool-invocations/[invocationId]/route.ts](../src/app/api/workspace/tool-invocations/[invocationId]/route.ts)<br>[src/app/api/workspace/tool-invocations/route.ts](../src/app/api/workspace/tool-invocations/route.ts)<br>[src/app/api/workspace/tools/route.ts](../src/app/api/workspace/tools/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/custom-tools/use-cases.submit-secret-request.ts](../src/modules/custom-tools/use-cases.submit-secret-request.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/modules/skills/use-cases.exec-file-async.ts](../src/modules/skills/use-cases.exec-file-async.ts)<br>[src/modules/tool/use-cases.tool-binding-input-schema.ts](../src/modules/tool/use-cases.tool-binding-input-schema.ts)<br>[src/modules/tool-connections/use-cases.clear-default-connections.ts](../src/modules/tool-connections/use-cases.clear-default-connections.ts)<br>[src/modules/tool-connections/use-cases.mcp-tool-source.ts](../src/modules/tool-connections/use-cases.mcp-tool-source.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","tools.configure","Modifier les outils et leurs validations.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/custom-tools/[toolId]/route.ts](../src/app/api/workspace/custom-tools/[toolId]/route.ts)<br>[src/app/api/workspace/custom-tools/builder/route.ts](../src/app/api/workspace/custom-tools/builder/route.ts)<br>[src/app/api/workspace/custom-tools/secrets/[requestId]/route.ts](../src/app/api/workspace/custom-tools/secrets/[requestId]/route.ts)<br>[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/app/api/workspace/skills/[skillId]/route.ts](../src/app/api/workspace/skills/[skillId]/route.ts)<br>[src/app/api/workspace/skills/preview/route.ts](../src/app/api/workspace/skills/preview/route.ts)<br>[src/app/api/workspace/skills/route.ts](../src/app/api/workspace/skills/route.ts)<br>[src/app/api/workspace/tool-connections/[connectionId]/route.ts](../src/app/api/workspace/tool-connections/[connectionId]/route.ts)<br>[src/app/api/workspace/tool-connections/route.ts](../src/app/api/workspace/tool-connections/route.ts)<br>[src/app/api/workspace/tool-connectors/route.ts](../src/app/api/workspace/tool-connectors/route.ts)<br>[src/app/api/workspace/user-tool-settings/route.ts](../src/app/api/workspace/user-tool-settings/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/custom-tools/use-cases.custom-tool-row.ts](../src/modules/custom-tools/use-cases.custom-tool-row.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/modules/skills/use-cases.exec-file-async.ts](../src/modules/skills/use-cases.exec-file-async.ts)<br>[src/modules/skills/use-cases.list-agent-skills.ts](../src/modules/skills/use-cases.list-agent-skills.ts)<br>[src/modules/tool-connections/use-cases.mcp-tool-source.ts](../src/modules/tool-connections/use-cases.mcp-tool-source.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","tools.executeRestricted","Exécuter les outils nécessitant un accès élevé.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/tool-invocations/[invocationId]/approve/route.post.ts](../src/app/api/workspace/tool-invocations/[invocationId]/approve/route.post.ts)<br>[src/app/api/workspace/tool-invocations/[invocationId]/reject/route.ts](../src/app/api/workspace/tool-invocations/[invocationId]/reject/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/openapi/openapi.open-api-object.ts](../src/modules/openapi/openapi.open-api-object.ts)<br>[src/modules/tool/use-cases.log-tool-invocation.ts](../src/modules/tool/use-cases.log-tool-invocation.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","mcpServers.get","Voir les serveurs MCP et connexions configurés.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","Oui","—","—","[src/app/api/workspace/mcp-servers/[serverId]/route.ts](../src/app/api/workspace/mcp-servers/[serverId]/route.ts)<br>[src/app/api/workspace/mcp-servers/[serverId]/tools/route.ts](../src/app/api/workspace/mcp-servers/[serverId]/tools/route.ts)<br>[src/app/api/workspace/mcp-servers/route.ts](../src/app/api/workspace/mcp-servers/route.ts)<br>[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/mcp/use-cases.create-mcp-server.ts](../src/modules/mcp/use-cases.create-mcp-server.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/modules/tool/use-cases.tool-binding-input-schema.ts](../src/modules/tool/use-cases.tool-binding-input-schema.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","mcpServers.manage","Configurer les serveurs MCP et les connexions.","Organisation → projet → ressource du domaine","mcpServers.get","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/mcp-servers/[serverId]/route.ts](../src/app/api/workspace/mcp-servers/[serverId]/route.ts)<br>[src/app/api/workspace/mcp-servers/[serverId]/test/route.ts](../src/app/api/workspace/mcp-servers/[serverId]/test/route.ts)<br>[src/app/api/workspace/mcp-servers/[serverId]/tools/[toolId]/route.ts](../src/app/api/workspace/mcp-servers/[serverId]/tools/[toolId]/route.ts)<br>[src/app/api/workspace/mcp-servers/[serverId]/tools/route.ts](../src/app/api/workspace/mcp-servers/[serverId]/tools/route.ts)<br>[src/app/api/workspace/mcp-servers/route.ts](../src/app/api/workspace/mcp-servers/route.ts)<br>[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/app/api/workspace/tool-connection-requirements/route.ts](../src/app/api/workspace/tool-connection-requirements/route.ts)<br>[src/app/api/workspace/tool-connectors/route.ts](../src/app/api/workspace/tool-connectors/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/iam/resource-direct-sharing.ts](../src/modules/iam/resource-direct-sharing.ts)<br>[src/modules/mcp/use-cases.create-mcp-server.ts](../src/modules/mcp/use-cases.create-mcp-server.ts)<br>[src/modules/mcp/use-cases.mcp-server.ts](../src/modules/mcp/use-cases.mcp-server.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","knowledgeBases.viewAllowed","Lire les bases de connaissances partagées avec le membre.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","Oui","Oui","—","[src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/documents/[documentId]/raw/route.ts](../src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/documents/[documentId]/raw/route.ts)<br>[src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/documents/[documentId]/route.ts](../src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/documents/[documentId]/route.ts)<br>[src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/documents/route.create-schema.ts](../src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/documents/route.create-schema.ts)<br>[src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/route.ts](../src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/route.ts)<br>[src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/search/route.ts](../src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/search/route.ts)<br>[src/app/api/workspace/knowledge-bases/default-rag-config/route.ts](../src/app/api/workspace/knowledge-bases/default-rag-config/route.ts)<br>[src/app/api/workspace/knowledge-bases/route.ts](../src/app/api/workspace/knowledge-bases/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/knowledge/use-cases.create-knowledge-base-input.ts](../src/modules/knowledge/use-cases.create-knowledge-base-input.ts)<br>[src/modules/knowledge/use-cases.list-knowledge-bases.ts](../src/modules/knowledge/use-cases.list-knowledge-bases.ts)<br>[src/modules/marketplace/install-helpers.install-agent-manifest.ts](../src/modules/marketplace/install-helpers.install-agent-manifest.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","knowledgeBases.manage","Créer et modifier les bases de connaissances.","Organisation → projet → ressource du domaine","knowledgeBases.viewAllowed","Oui","Oui","—","Oui","Oui","—","Oui","—","[src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/documents/[documentId]/route.ts](../src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/documents/[documentId]/route.ts)<br>[src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/documents/route.post.ts](../src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/documents/route.post.ts)<br>[src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/reindex/route.ts](../src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/reindex/route.ts)<br>[src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/route.ts](../src/app/api/workspace/knowledge-bases/[knowledgeBaseId]/route.ts)<br>[src/app/api/workspace/knowledge-bases/route.ts](../src/app/api/workspace/knowledge-bases/route.ts)<br>[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/iam/resource-direct-sharing.ts](../src/modules/iam/resource-direct-sharing.ts)<br>[src/modules/knowledge/use-cases.create-knowledge-base-input.ts](../src/modules/knowledge/use-cases.create-knowledge-base-input.ts)<br>[src/modules/knowledge/use-cases.list-knowledge-bases.ts](../src/modules/knowledge/use-cases.list-knowledge-bases.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Workflows","workflows.view","Lister les workflows et consulter leurs exécutions.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","Oui","—","—","[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/app/api/workspace/workflow-runs/[runId]/route.ts](../src/app/api/workspace/workflow-runs/[runId]/route.ts)<br>[src/app/api/workspace/workflows/[workflowId]/agentic/route.params-schema.ts](../src/app/api/workspace/workflows/[workflowId]/agentic/route.params-schema.ts)<br>[src/app/api/workspace/workflows/[workflowId]/route.ts](../src/app/api/workspace/workflows/[workflowId]/route.ts)<br>[src/app/api/workspace/workflows/[workflowId]/runs/route.ts](../src/app/api/workspace/workflows/[workflowId]/runs/route.ts)<br>[src/app/api/workspace/workflows/route.ts](../src/app/api/workspace/workflows/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Workflows","workflows.create","Créer de nouveaux brouillons de workflow.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/workflows/route.ts](../src/app/api/workspace/workflows/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Workflows","workflows.update","Modifier et publier les workflows.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/workflows/[workflowId]/agentic/inputs/[requestId]/route.ts](../src/app/api/workspace/workflows/[workflowId]/agentic/inputs/[requestId]/route.ts)<br>[src/app/api/workspace/workflows/[workflowId]/agentic/route.post.ts](../src/app/api/workspace/workflows/[workflowId]/agentic/route.post.ts)<br>[src/app/api/workspace/workflows/[workflowId]/publish/route.ts](../src/app/api/workspace/workflows/[workflowId]/publish/route.ts)<br>[src/app/api/workspace/workflows/[workflowId]/route.ts](../src/app/api/workspace/workflows/[workflowId]/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Workflows","workflows.execute","Démarrer des exécutions de workflow.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/workflows/[workflowId]/agentic/runs/[requestId]/route.ts](../src/app/api/workspace/workflows/[workflowId]/agentic/runs/[requestId]/route.ts)<br>[src/app/api/workspace/workflows/[workflowId]/runs/route.ts](../src/app/api/workspace/workflows/[workflowId]/runs/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Workflows","workflows.delete","Supprimer définitivement des workflows.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/workflows/[workflowId]/route.ts](../src/app/api/workspace/workflows/[workflowId]/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Gouvernance et identifiants","usage.view","Consulter la consommation et les quotas.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","Oui","—","—","[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/app/api/workspace/usage/route.ts](../src/app/api/workspace/usage/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Gouvernance et identifiants","audit.view","Consulter les événements de sécurité.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","Oui","—","—","[src/app/api/workspace/audit/route.ts](../src/app/api/workspace/audit/route.ts)<br>[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Gouvernance et identifiants","audit.export","Télécharger les événements d’audit.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Gouvernance et identifiants","marketplaceItems.view","Parcourir les ressources disponibles sur la marketplace.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","Oui","—","—","[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Gouvernance et identifiants","marketplaceItems.install","Ajouter des ressources partagées au projet.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/marketplace/items/[itemId]/install/route.ts](../src/app/api/marketplace/items/[itemId]/install/route.ts)<br>[src/app/api/workspace/agents/route.get.ts](../src/app/api/workspace/agents/route.get.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Gouvernance et identifiants","marketplaceItems.publish","Partager les ressources du projet.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/marketplace/items/marketplace-route-auth.ts](../src/app/api/marketplace/items/marketplace-route-auth.ts)<br>[src/app/api/marketplace/items/route.ts](../src/app/api/marketplace/items/route.ts)<br>[src/app/api/marketplace/publish-preview/route.ts](../src/app/api/marketplace/publish-preview/route.ts)<br>[src/app/api/workspace/agents/route.get.ts](../src/app/api/workspace/agents/route.get.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/marketplace/use-cases.get-my-marketplace-items.ts](../src/modules/marketplace/use-cases.get-my-marketplace-items.ts)<br>[src/modules/marketplace/use-cases.marketplace-visibility.ts](../src/modules/marketplace/use-cases.marketplace-visibility.ts)<br>[src/modules/openapi/openapi.open-api-object.ts](../src/modules/openapi/openapi.open-api-object.ts)<br>[src/modules/resource-package/export.ts](../src/modules/resource-package/export.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Gouvernance et identifiants","apiKeys.manageOwn","Créer des identifiants limités aux accès du membre.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/api-keys/permissions.ts](../src/modules/api-keys/permissions.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/openapi/openapi.open-api-object.ts](../src/modules/openapi/openapi.open-api-object.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Gouvernance et identifiants","apiKeys.manage","Administrer les identifiants du projet.","Organisation → projet → ressource du domaine","apiKeys.manageOwn","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/api-keys/permissions.ts](../src/modules/api-keys/permissions.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
